name_id,name,yrdb_id,ch_pinyin,attestation
nm_0385,單縣,yrdb306,shan xian, ds_467
nm_0386,單縣,yrdb306,shan xian, ds_548
nm_0387,單縣,yrdb306,shan xian, ds_562
nm_0388,單縣,yrdb306,shan xian, ds_749
nm_0389,單縣,yrdb306,shan xian, ds_904
nm_0390,單縣,yrdb306,shan xian, ds_792
nm_0391,單家口,yrdb308,danjia kou,ds_108
nm_0392,單家莊,yrdb309,danjia zhuang,ds_110
nm_0393,單家樓,yrdb310,danjialou,ds_109
nm_0394,單州,yrdb311,dan zhou,ds_107
nm_0395,單州,yrdb311,dan zhou, ds_904
nm_0396,單父,yrdb312,danfu,ds_107
nm_0397,單父,yrdb312,danfu, ds_903
nm_0398,單路口,yrdb313,danlu kou,ds_111
nm_0399,南樂,yrdb314,nanle,ds_1092
nm_0400,南京路,yrdb315,nanjing lu,ds_1626
nm_0401,南仁寨,yrdb316,nanren zhai,us_81008
nm_0402,南關,yrdb317,nan guan,us_80775
nm_0403,南關,yrdb317,nan guan, ds_425
nm_0404,南劍州,yrdb318,nanjian zhou,ds_1454
nm_0405,南華縣,yrdb319,nanhua xian,ds_1091
nm_0406,南大通堡,yrdb320,nandatong bao,us_80366
nm_0407,南大通堡,yrdb320,nandatong bao, us_70360
nm_0408,南宮,yrdb322,nan gong,ds_502
nm_0409,南宮,yrdb322,nan gong, ds_672
nm_0410,南宮,yrdb322,nan gong, ds_687
nm_0411,南宮,yrdb322,nan gong, ds_1089
nm_0412,南岸,yrdb323,nanan,ds_423
nm_0413,南川營,yrdb325,nanchuan ying,us_80323
nm_0414,南川營,yrdb325,nanchuan ying, us_70364
nm_0415,南平城,yrdb326,nanping cheng,us_40144
nm_0416,南康路,yrdb327,nankang lu,ds_1627
nm_0417,南村,yrdb328,nan cun,us_70372
nm_0418,南村,yrdb328,nan cun, us_80015
nm_0419,南柴堡,yrdb330,nanchai bao,us_80805
nm_0420,南樊寨,yrdb331,nanfan zhai,us_80912
nm_0421,南沙堤,yrdb332,nansha di,ds_426
nm_0422,南河廳,yrdb333,nanhe ting,ds_1090
nm_0423,南泉寨,yrdb334,nanquan zhai,us_81009
nm_0424,南泥灣,yrdb335,nanni wan,us_80117
nm_0425,南清河,yrdb336,nanqing he,ds_1719
nm_0426,南王村,yrdb337,nanwang cun,us_80869
nm_0427,南皮,yrdb338,nanpi,ds_1093
nm_0428,南直隸,yrdb339,nanzhili,ds_1628
nm_0429,南豫州,yrdb340,nanyu zhou,ds_1455
nm_0430,南陽,yrdb341,nanyang,ds_1095
nm_0431,南陽岡,yrdb342,nanyanggang,ds_427
nm_0432,南陽村,yrdb343,nanyang cun,us_80944
nm_0433,南青州,yrdb345,nanqing zhou,ds_1094
nm_0434,南頓,yrdb346,nandun,ds_424
nm_0435,南馬鎮,yrdb347,nanma zhen,us_80964
nm_0436,博興,yrdb348,boxing,ds_885
nm_0437,博州,yrdb349,bo zhou,ds_1331
nm_0438,博平,yrdb350,boping,ds_884
nm_0439,博望苑,yrdb351,bowang yuan,us_20087
nm_0440,博愛,yrdb352,boai,ds_883
nm_0441,博羅鄂博廟,yrdb353,boluoebo miao,us_81030
nm_0442,博陵坡,yrdb354,bolingpo,ds_40
nm_0443,盧氏,yrdb355,lushi,us_40036
nm_0444,盧溝堤,yrdb356,lugou di,ds_373
nm_0445,盧靈關,yrdb357,luling guan,us_80190
nm_0446,臥龍山,yrdb358,wolong shan,ds_657
nm_0447,衛南,yrdb359,weinan,ds_1504
nm_0448,衛縣,yrdb360,wei xian,ds_1192
nm_0449,衛州,yrdb361,wei zhou,ds_628
nm_0450,衛州,yrdb361,wei zhou, ds_1505
nm_0451,衛河,yrdb362,wei he,ds_1639
nm_0452,衛輝,yrdb363,weihui,ds_1191
nm_0453,衛輝府,yrdb364,weihui fu,ds_1007
nm_0454,衛輝路,yrdb365,weihui lu,ds_1010
nm_0455,衛輝路,yrdb365,weihui lu, ds_1653
nm_0456,卷縣,yrdb366,juan xian,ds_1037
nm_0457,歷亭縣,yrdb367,liting xian,ds_1052
nm_0458,歷城,yrdb368,li cheng,us_40195
nm_0459,歷城縣,yrdb369,licheng xian,ds_92
