yrdb_id,tr_title,ch_pinyin
yrdb725,姜莊,jiang zhuang
yrdb726,姬磨站,jimo zhan
yrdb727,威縣,wei xian
yrdb728,威平堡,weiping bao
yrdb729,威戎,weirong
yrdb731,威武堡,weiwu bao
yrdb732,威遠堡,weiyuan bao
yrdb733,威鎮堡,weizhen bao
yrdb734,威魯堡,weilu bao
yrdb735,婁家莊,loujia zhuang
yrdb736,娘娘壩,niangniang ba
yrdb737,娘娘廟,niangniang miao
yrdb738,娘子關,niangzi guan
yrdb739,婺州,wu zhou
yrdb740,子午鎮,ziwu zhen
yrdb741,子房山,zifang shan
yrdb742,子洪鎮,zihong zhen
yrdb743,孔家莊,kongjia zhuang
yrdb744,孫古鎮,sungu zhen
yrdb745,孫家口,sunjia kou
yrdb746,孫家渡,sunjia du
yrdb747,孫家港,sunjiagang
yrdb748,孫家集,sunjia ji
yrdb749,孫村埽,suncun sao
yrdb750,孫港口,sungang kou
yrdb751,孫祿口,sunlu kou
yrdb752,孫繼口,sunji kou
yrdb753,孫耿鎮,sungeng zhen
yrdb754,孝義,xiaoyi
yrdb755,孝義里,xiaoyili
yrdb756,孝義鎮,xiaoyi zhen
yrdb757,孝莊,xiao zhuang
yrdb758,孝童,xiaotong
yrdb759,孟縣,meng xian
yrdb760,孟壩寺,mengba si
yrdb761,孟家埠口,mengjiabu kou
yrdb762,孟家峪,mengjiayu
yrdb763,孟家灣,mengjia wan
yrdb764,孟州,meng zhou
yrdb765,孟打工,mengdagong
yrdb766,孟津,meng jin
yrdb768,孟津口,mengjin kou
yrdb769,富平渡,fuping du
yrdb771,孟門鎮,mengmen zhen
yrdb772,孟陽,mengyang
yrdb773,季泰鎮,jitai zhen
yrdb774,孤山堡,gushan bao
yrdb775,孤店,gudian
yrdb778,寧化寨,ninghua zhai
yrdb779,寧化所,ninghuasuo
yrdb780,寧化鎮,ninghua zhen
yrdb781,寧縣,ning xian
yrdb782,寧國,ning guo
yrdb783,寧塞營,ningsai ying
yrdb784,寧夏,ningxia
yrdb786,寧安堡,ningan bao
yrdb787,寧州,ning zhou
yrdb788,寧朔縣,ningshuo xian
yrdb789,寧武,ningwu
yrdb790,寧河堡,ninghe bao
yrdb791,寧王村,ningwang cun
yrdb792,寧邊城,ningbian cheng
