plest_id,place_id,est_year
plest_0533,yrdb4232,1111
plest_0534,yrdb4233,1111
plest_0535,yrdb4234,1111
plest_0536,yrdb4235,1111
plest_0537,yrdb4236,1111
plest_0538,yrdb4237,1111
plest_0539,yrdb4238,1111
plest_0540,yrdb4239,1111
plest_0541,yrdb4240,1111
plest_0542,yrdb4241,1111
plest_0543,yrdb4242,1111
plest_0544,yrdb4243,1111
plest_0545,yrdb4244,1111
plest_0546,yrdb4245,1111
plest_0547,yrdb4246,1111
plest_0548,yrdb4247,1111
plest_0549,yrdb4248,1111
plest_0550,yrdb4249,1111
plest_0551,yrdb4250,1111
plest_0552,yrdb4251,1111
plest_0553,yrdb4252,1111
plest_0554,yrdb4253,1111
plest_0555,yrdb4254,1111
plest_0556,yrdb4255,1111
plest_0557,yrdb4256,1111
plest_0558,yrdb4257,1111
plest_0559,yrdb4258,1111
plest_0560,yrdb4259,1111
plest_0561,yrdb4260,1111
plest_0562,yrdb4261,1111
plest_0563,yrdb4262,1111
plest_0564,yrdb4263,1111
plest_0565,yrdb4264,1111
plest_0566,yrdb4265,1111
plest_0567,yrdb4266,1111
plest_0568,yrdb4267,1111
plest_0569,yrdb4268,1111
plest_0570,yrdb4269,1111
plest_0571,yrdb4270,1111
plest_0572,yrdb4271,1111
plest_0573,yrdb4272,1111
plest_0574,yrdb4273,1111
plest_0575,yrdb4274,1111
plest_0576,yrdb4275,1111
plest_0577,yrdb4276,1111
plest_0578,yrdb4277,1111
plest_0579,yrdb4278,1111
plest_0580,yrdb4279,1111
plest_0581,yrdb4280,1111
plest_0582,yrdb4281,1111
plest_0583,yrdb4282,1111
plest_0584,yrdb4283,1111
plest_0585,yrdb4284,1111
plest_0586,yrdb4285,1111
plest_0587,yrdb4286,1111
plest_0588,yrdb4287,1111
plest_0589,yrdb4288,1111
plest_0590,yrdb4289,1111
plest_0591,yrdb4290,1111
plest_0592,yrdb4291,1111
plest_0593,yrdb4292,1111
plest_0594,yrdb4293,1111
plest_0595,yrdb4294,1111
plest_0596,yrdb4295,1111
plest_0597,yrdb4296,1111
plest_0598,yrdb4297,1111
plest_0599,yrdb4298,1111
plest_0600,yrdb4299,1111
plest_0601,yrdb4300,1111
plest_0602,yrdb4301,1111
plest_0603,yrdb4302,1111
plest_0604,yrdb4303,1111
plest_0605,yrdb4304,1111
plest_0606,yrdb4305,1111
plest_0607,yrdb4306,1111
plest_0608,yrdb4307,1111
plest_0609,yrdb4308,1111
plest_0610,yrdb4309,1111
plest_0611,yrdb4310,1111
plest_0612,yrdb4311,1111
plest_0613,yrdb4312,1111
plest_0614,yrdb4313,1111
plest_0615,yrdb4314,1111
plest_0616,yrdb4315,1111
plest_0617,yrdb4316,1111
plest_0618,yrdb4317,1111
plest_0619,yrdb4318,1111
plest_0620,yrdb4319,1111
plest_0621,yrdb4320,1111
plest_0622,yrdb4321,1111
plest_0623,yrdb4322,1111
plest_0624,yrdb4323,1111
plest_0625,yrdb4324,1111
plest_0626,yrdb4325,1111
plest_0627,yrdb4326,1111
plest_0628,yrdb4327,1111
plest_0629,yrdb4328,1111
plest_0630,yrdb4329,1111
plest_0631,yrdb4330,1111
plest_0632,yrdb4331,1111
plest_0633,yrdb4332,1111
plest_0634,yrdb4333,1111
plest_0635,yrdb4334,1111
plest_0636,yrdb4335,1111
plest_0637,yrdb4336,1111
plest_0638,yrdb4337,1111
plest_0639,yrdb4338,1111
plest_0640,yrdb4339,1111
plest_0641,yrdb4340,1111
plest_0642,yrdb4341,1111
plest_0643,yrdb4342,1111
plest_0644,yrdb4343,1111
plest_0645,yrdb4344,1111
plest_0646,yrdb4345,1111
plest_0647,yrdb4346,1111
plest_0648,yrdb4347,1111
plest_0649,yrdb4348,1111
plest_0650,yrdb4349,1111
plest_0651,yrdb4350,1111
plest_0652,yrdb4351,1111
plest_0653,yrdb4352,1111
plest_0654,yrdb4353,1111
plest_0655,yrdb4354,1111
plest_0656,yrdb4355,1111
plest_0657,yrdb4356,1111
plest_0658,yrdb4357,1111
plest_0659,yrdb4358,1111
plest_0660,yrdb4359,1111
plest_0661,yrdb4360,1111
plest_0662,yrdb4361,1111
plest_0663,yrdb4362,1111
plest_0664,yrdb4363,1111
plest_0665,yrdb4364,1111
plest_0666,yrdb4365,1111
plest_0667,yrdb4366,1111
plest_0668,yrdb4367,1111
plest_0669,yrdb4368,1111
plest_0670,yrdb4369,1111
plest_0671,yrdb4370,1111
plest_0672,yrdb4371,1111
plest_0673,yrdb4372,1111
plest_0674,yrdb4373,1111
plest_0675,yrdb4374,1111
plest_0676,yrdb4375,1111
plest_0677,yrdb4376,1111
plest_0678,yrdb4377,1111
plest_0679,yrdb4378,1111
plest_0680,yrdb4379,1111
plest_0681,yrdb4380,1111
plest_0682,yrdb4381,1111
plest_0683,yrdb4382,1111
plest_0684,yrdb4383,1111
plest_0685,yrdb4384,1111
plest_0686,yrdb4385,1111
plest_0687,yrdb4386,1111
plest_0688,yrdb4387,1111
plest_0689,yrdb4388,1111
plest_0690,yrdb4389,1111
plest_0691,yrdb4390,1111
plest_0692,yrdb4391,1111
plest_0693,yrdb4392,1111
plest_0694,yrdb4393,1111
plest_0695,yrdb4394,1111
plest_0696,yrdb4395,1111
plest_0697,yrdb4396,1111
plest_0698,yrdb4397,1111
plest_0699,yrdb4398,1111
plest_0700,yrdb4399,1111
plest_0701,yrdb4400,1111
plest_0702,yrdb4401,1111
plest_0703,yrdb4402,1111
plest_0704,yrdb4403,1111
plest_0705,yrdb4404,1189
plest_0706,yrdb4405,1189
plest_0707,yrdb4406,1189
plest_0708,yrdb4407,1189
plest_0709,yrdb4408,1189
plest_0710,yrdb4409,1189
plest_0711,yrdb4410,1189
plest_0712,yrdb4411,1189
plest_0713,yrdb4412,1189
plest_0714,yrdb4413,1189
plest_0715,yrdb4414,1189
plest_0716,yrdb4415,1189
plest_0717,yrdb4416,1189
plest_0718,yrdb4417,1189
plest_0719,yrdb4418,1189
plest_0720,yrdb4419,1189
plest_0721,yrdb4420,1189
plest_0722,yrdb4421,1189
plest_0723,yrdb4422,1189
plest_0724,yrdb4423,1189
plest_0725,yrdb4424,1189
plest_0726,yrdb4425,1189
plest_0727,yrdb4426,1189
plest_0728,yrdb4427,1189
plest_0729,yrdb4428,1189
plest_0730,yrdb4429,1189
plest_0731,yrdb4430,1189
plest_0732,yrdb4431,1189
plest_0733,yrdb4432,1189
plest_0734,yrdb4433,1189
plest_0735,yrdb4434,1189
plest_0736,yrdb4435,1189
