name_id,language,name,en_transliteration,yrdb_id,attestation
nm_240,en,xiangtang,,yrdb8,us_80356
nm_241,zh-cn,京,,yrdb9,us_10001
nm_242,en,jing,,yrdb9,us_10001
nm_243,zh-cn,京東,,yrdb10,ds_1419
nm_244,en,jingdong,,yrdb10,ds_1419
nm_245,zh-cn,京東埽,,yrdb11,ds_296
nm_246,en,jingdong sao,,yrdb11,ds_296
nm_247,zh-cn,京東西路,,yrdb12,ds_1614
nm_248,en,jingdongxi lu,,yrdb12,ds_1614
nm_249,zh-cn,京東諸郡,,yrdb13,ds_1615
nm_250,en,jingdongzhu jun,,yrdb13,ds_1615
nm_251,zh-cn,京東路,,yrdb14,ds_1613
nm_252,en,jingdong lu,,yrdb14,ds_1613
nm_253,zh-cn,京兆府,,yrdb16,ds_1424
nm_254,en,jingzhao fu,,yrdb16,ds_1424
nm_255,zh-cn,京兆府,,yrdb16,ds_1618
nm_256,en,jingzhao fu,,yrdb16,ds_1618
nm_257,zh-cn,京安鎮,,yrdb17,us_80796
nm_258,en,jingan zhen,,yrdb17,us_80796
nm_259,zh-cn,京山縣,,yrdb18,ds_1026
nm_260,en,jingshan xian,,yrdb18,ds_1026
nm_261,zh-cn,京畿,,yrdb20,ds_153
nm_262,en,jingji,,yrdb20,ds_153
nm_263,zh-cn,京西路,,yrdb21,ds_1617
nm_264,en,jingxi lu,,yrdb21,ds_1617
nm_265,zh-cn,京陵城,,yrdb22,us_40130
nm_266,en,jingling cheng,,yrdb22,us_40130
nm_267,zh-cn,亭口鎮,,yrdb23,us_80192
nm_268,en,tingkou zhen,,yrdb23,us_80192
nm_269,zh-cn,亳縣,,yrdb24,ds_39
nm_270,en,bo xian,,yrdb24,ds_39
nm_271,zh-cn,亳州,,yrdb25,ds_935
nm_272,en,bo zhou,,yrdb25,ds_935
nm_273,zh-cn,亳州,,yrdb25,ds_1330
nm_274,en,bo zhou,,yrdb25,ds_1330
nm_275,zh-cn,亳社屯,,yrdb26,ds_38
nm_276,en,boshe tun,,yrdb26,ds_38
nm_277,zh-cn,什字川堡,,yrdb27,us_70178
nm_278,en,shizichuan bao,,yrdb27,us_70178
nm_279,zh-cn,什賁,,yrdb28,us_40298
nm_280,en,shiben,,yrdb28,us_40298
nm_281,zh-cn,什貼鎮,,yrdb29,us_80710
nm_282,en,shitie zhen,,yrdb29,us_80710
nm_283,zh-cn,仁和汛,,yrdb30,ds_483
nm_284,en,renhexun,,yrdb30,ds_483
nm_285,zh-cn,仁文鎮,,yrdb31,us_80774
nm_286,en,renwen zhen,,yrdb31,us_80774
nm_287,zh-cn,仇池壁,,yrdb32,us_40108
nm_288,en,qiuchibi,,yrdb32,us_40108
nm_289,zh-cn,仇池壁,,yrdb32,us_40256
nm_290,en,qiuchibi,,yrdb32,us_40256
nm_291,zh-cn,介休縣,,yrdb34,us_40008
nm_292,en,jiexiu xian,,yrdb34,us_40008
nm_293,zh-cn,介休縣,,yrdb34,us_40258
nm_294,en,jiexiu xian,,yrdb34,us_40258
nm_295,zh-cn,介休縣,,yrdb34,ds_1020
nm_296,en,jiexiu xian,,yrdb34,ds_1020
nm_297,zh-cn,倉城,,yrdb36,us_40150
nm_298,en,cang cheng,,yrdb36,us_40150
nm_299,zh-cn,付村,,yrdb37,us_80125
nm_300,en,fu cun,,yrdb37,us_80125
nm_301,zh-cn,仙密寺,,yrdb38,us_80308
nm_302,en,xianmi si,,yrdb38,us_80308
nm_303,zh-cn,代州,,yrdb39,ds_1346
nm_304,en,dai zhou,,yrdb39,ds_1346
nm_305,zh-cn,代來城,,yrdb40,us_40045
nm_306,en,dailai cheng,,yrdb40,us_40045
nm_307,zh-cn,代來城,,yrdb40,us_40202
nm_308,en,dailai cheng,,yrdb40,us_40202
nm_309,zh-cn,儀封縣,,yrdb41,ds_44
nm_310,en,yifeng xian,,yrdb41,ds_44
nm_311,zh-cn,儀封縣,,yrdb41,ds_101
nm_312,en,yifeng xian,,yrdb41,ds_101
nm_313,zh-cn,儀封縣,,yrdb41,ds_181
nm_314,en,yifeng xian,,yrdb41,ds_181
nm_315,zh-cn,儀封縣,,yrdb41,ds_229
nm_316,en,yifeng xian,,yrdb41,ds_229
nm_317,zh-cn,儀封縣,,yrdb41,ds_259
nm_318,en,yifeng xian,,yrdb41,ds_259
nm_319,zh-cn,儀封縣,,yrdb41,ds_529
nm_320,en,yifeng xian,,yrdb41,ds_529
nm_321,zh-cn,儀封縣,,yrdb41,ds_544
nm_322,en,yifeng xian,,yrdb41,ds_544
nm_323,zh-cn,儀封縣,,yrdb41,ds_756
nm_324,en,yifeng xian,,yrdb41,ds_756
nm_325,zh-cn,儀封縣,,yrdb41,ds_786
nm_326,en,yifeng xian,,yrdb41,ds_786
nm_327,zh-cn,儀封縣,,yrdb41,ds_1267
nm_328,en,yifeng xian,,yrdb41,ds_1267
nm_329,zh-cn,儀封縣,,yrdb41,ds_709
nm_330,en,yifeng xian,,yrdb41,ds_709
nm_331,zh-cn,任城縣,,yrdb43,ds_1138
nm_332,en,rencheng xian,,yrdb43,ds_1138
nm_333,zh-cn,任村沙谷口,,yrdb44,ds_484
nm_334,en,rencunshagu kou,,yrdb44,ds_484
nm_335,zh-cn,伊克錫巴爾,,yrdb45,us_70296
nm_336,en,yikexibaer,,yrdb45,us_70296
nm_337,zh-cn,伊是,,yrdb46,us_10032
nm_338,en,yishi,,yrdb46,us_10032
nm_339,zh-cn,伊河,,yrdb47,ds_1752
nm_340,en,yi he,,yrdb47,ds_1752
nm_341,zh-cn,伊洛河,,yrdb48,ds_1753
nm_342,en,yiluo he,,yrdb48,ds_1753
nm_343,zh-cn,伊闕,,yrdb49,us_10010
nm_344,en,yique,,yrdb49,us_10010
nm_345,zh-cn,伊闕,,yrdb49,us_20178
nm_346,en,yique,,yrdb49,us_20178
nm_347,zh-cn,伊闕,,yrdb49,us_20213
nm_348,en,yique,,yrdb49,us_20213
nm_349,zh-cn,伊闕,,yrdb49,us_40087
nm_350,en,yique,,yrdb49,us_40087
nm_351,zh-cn,伊闕,,yrdb49,us_20073
nm_352,en,yique,,yrdb49,us_20073
nm_353,zh-cn,伍家營,,yrdb53,ds_675
nm_354,en,wujia ying,,yrdb53,ds_675
nm_355,zh-cn,眾興鎮,,yrdb54,ds_852
nm_356,en,zhongxing zhen,,yrdb54,ds_852
nm_357,zh-cn,會州城,,yrdb55,ds_1399
nm_358,en,huizhou cheng,,yrdb55,ds_1399
nm_359,zh-cn,會稽山,,yrdb56,ds_1702
nm_360,en,kuaiji shan,,yrdb56,ds_1702
nm_361,zh-cn,會通河,,yrdb57,ds_1572
nm_362,en,huitong he,,yrdb57,ds_1572
nm_363,zh-cn,伯士鎮,,yrdb58,us_80180
nm_364,en,boshi zhen,,yrdb58,us_80180
nm_365,zh-cn,何家堡,,yrdb59,us_80427
nm_366,en,hejia pu,,yrdb59,us_80427
nm_367,zh-cn,何家營,,yrdb60,ds_206
nm_368,en,hejia ying,,yrdb60,ds_206
nm_369,zh-cn,何家集,,yrdb61,ds_205
nm_370,en,hejia ji,,yrdb61,ds_205
nm_371,zh-cn,河王莊,,yrdb62,ds_207
nm_372,en,hewang zhuang,,yrdb62,ds_207
nm_373,zh-cn,佘泰,,yrdb63,us_81043
nm_374,en,shetai,,yrdb63,us_81043
nm_375,zh-cn,余吾,,yrdb64,us_20199
nm_376,en,yuwu,,yrdb64,us_20199
nm_377,zh-cn,余吾,,yrdb64,us_40112
nm_378,en,yuwu,,yrdb64,us_40112
nm_379,zh-cn,余吾,,yrdb64,us_40255
nm_380,en,yuwu,,yrdb64,us_40255
nm_381,zh-cn,佛爺坪,,yrdb66,us_80235
nm_382,en,foye ping,,yrdb66,us_80235
nm_383,zh-cn,依克沙巴爾,,yrdb67,us_81016
nm_384,en,yikeshabaer,,yrdb67,us_81016
nm_385,zh-cn,侯壁寨,,yrdb68,us_81010
nm_386,en,houbi zhai,,yrdb68,us_81010
nm_387,zh-cn,侯家林,,yrdb69,ds_231
nm_388,en,houjialin,,yrdb69,ds_231
nm_389,zh-cn,侯家林,,yrdb69,ds_232
nm_390,en,houjialin,,yrdb69,ds_232
nm_391,zh-cn,侯家樓,,yrdb70,ds_233
nm_392,en,houjialou,,yrdb70,ds_233
nm_393,zh-cn,侯家潭,,yrdb71,ds_234
nm_394,en,houjiatan,,yrdb71,ds_234
nm_395,zh-cn,侯馬鎮,,yrdb72,us_80806
nm_396,en,houma zhen,,yrdb72,us_80806
nm_397,zh-cn,俄博溝莊,,yrdb73,us_80306
nm_398,en,ebogou zhuang,,yrdb73,us_80306
nm_399,zh-cn,保寧堡,,yrdb74,us_70332
nm_400,en,baoning bao,,yrdb74,us_70332
nm_401,zh-cn,保寧堡,,yrdb74,us_80052
nm_402,en,baoning bao,,yrdb74,us_80052
nm_403,zh-cn,保安,,yrdb75,us_80639
nm_404,en,baoan,,yrdb75,us_80639
nm_405,zh-cn,保安,,yrdb75,us_70120
