yrdb_id,ft_id
yrdb1251,town
yrdb1252,village
yrdb1253,customs house
yrdb1254,military post
yrdb1255,estuary
yrdb1256,walled settlement
yrdb1257,town
yrdb1258,not specified
yrdb1259,not specified
yrdb1260,customs house
yrdb1261,not specified
yrdb1262,town
yrdb1263,stage station
yrdb1264,stream
yrdb1265,walled settlement
yrdb1266,town
yrdb1267,town
yrdb1268,customs house
yrdb1269,town
yrdb1270,community
yrdb1271,township
yrdb1272,fortress
yrdb1273,post station
yrdb1274,not specified
yrdb1275,customs house
yrdb1277,walled settlement
yrdb1278,town
yrdb1279,not specified
yrdb1280,customs house
yrdb1282,county
yrdb1283,encampment
yrdb1284,town
yrdb1285,town
yrdb1286,town
yrdb1287,not specified
yrdb1288,fortress
yrdb1289,manor
yrdb1290,estuary
yrdb1291,estuary
yrdb1292,not specified
yrdb1293,stockade
yrdb1294,village
yrdb1295,ditch
yrdb1296,estuary
yrdb1297,estuary
yrdb1298,estuary
yrdb1299,encampment
yrdb1300,not specified
yrdb1301,community
yrdb1302,stockade
yrdb1303,river
yrdb1304,fortress
yrdb1305,not specified
yrdb1306,town
yrdb1307,town
yrdb1308,department
yrdb1309,customs house
yrdb1310,commandery
yrdb1311,county
yrdb1312,encampment
yrdb1313,dike
yrdb1314,town
yrdb1315,mudflat
yrdb1316,not specified
yrdb1317,walled settlement
yrdb1318,not specified
yrdb1319,not specified
yrdb1320,embarkment
yrdb1321,not specified
yrdb1322,department
yrdb1323,river
yrdb1324,walled settlement
yrdb1325,stage station
yrdb1326,not specified
yrdb1327,not specified
yrdb1328,park
yrdb1329,not specified
yrdb1330,not specified
yrdb1331,state
yrdb1332,not specified
yrdb1333,not specified
yrdb1334,town
yrdb1335,customs house
yrdb1336,town
yrdb1337,town
yrdb1338,town
yrdb1339,department
yrdb1340,not specified
yrdb1341,not specified
yrdb1342,fortress
yrdb1343,town
yrdb1344,community
yrdb1345,manor
yrdb1346,town
yrdb1347,town
yrdb1350,not specified
yrdb1351,post station
yrdb1352,not specified
yrdb1353,county
yrdb1354,estuary
yrdb1355,fortress
yrdb1356,stockade
yrdb1357,manor
yrdb1358,bay
yrdb1359,not specified
yrdb1360,department
yrdb1361,town
yrdb1362,embarkment
yrdb1363,estuary
yrdb1364,town
yrdb1365,not specified
yrdb1367,neighborhood
yrdb1368,walled settlement
yrdb1369,not specified
yrdb1370,not specified
yrdb1372,county
yrdb1373,department
yrdb1374,county
yrdb1375,not specified
yrdb1376,customs house
yrdb1377,not specified
yrdb1378,fortress
yrdb1380,town
yrdb1381,town
yrdb1382,not specified
yrdb1383,not specified
yrdb1384,town
yrdb1385,fortress
yrdb1386,estuary
yrdb1387,not specified
yrdb1388,not specified
yrdb1389,stockade
yrdb1390,not specified
yrdb1391,fortress
yrdb1392,not specified
yrdb1393,ditch
yrdb1394,not specified
yrdb1395,not specified
yrdb1396,estuary
yrdb1397,stockade
yrdb1398,estuary
yrdb1399,customs house
yrdb1400,town
yrdb1401,fortress
yrdb1402,estuary
yrdb1403,estuary
yrdb1404,ferry crossing
yrdb1405,walled settlement
yrdb1406,not specified
yrdb1407,not specified
yrdb1408,post station
yrdb1409,estuary
yrdb1410,not specified
yrdb1411,not specified
yrdb1412,manor
yrdb1413,not specified
yrdb1414,not specified
yrdb1415,estuary
yrdb1416,fortress
yrdb1417,estuary
yrdb1419,not specified
yrdb1420,fortress
yrdb1422,walled settlement
yrdb1423,town
yrdb1424,encampment
yrdb1425,county
yrdb1426,walled settlement
yrdb1427,village
yrdb1428,manor
yrdb1429,not specified
yrdb1430,not specified
yrdb1431,town
yrdb1432,fortress
yrdb1433,not specified
yrdb1435,not specified
yrdb1436,town
yrdb1437,county
yrdb1438,department
yrdb1439,fortress
yrdb1440,not specified
yrdb1442,estuary
yrdb1443,fortress
yrdb1444,not specified
yrdb1445,stockade
yrdb1446,fortress
yrdb1447,estuary
yrdb1448,walled settlement
yrdb1449,manor
yrdb1450,not specified
yrdb1451,bridge
yrdb1452,not specified
yrdb1453,not specified
yrdb1454,not specified
yrdb1455,community
yrdb1456,estuary
yrdb1457,manor
yrdb1458,not specified
yrdb1459,community
yrdb1460,bridge
yrdb1461,manor
yrdb1462,not specified
yrdb1463,county
yrdb1464,not specified
yrdb1465,ditch
yrdb1466,bureau
yrdb1467,fortress
yrdb1468,ditch
yrdb1469,town
yrdb1470,walled settlement
yrdb1471,bridge
yrdb1472,estuary
yrdb1473,not specified
yrdb1474,estuary
yrdb1475,fortress
yrdb1476,county
yrdb1477,embarkment
yrdb1478,bay
yrdb1479,customs house
yrdb1480,circuit
yrdb1482,not specified
yrdb1484,town
yrdb1485,stage station
yrdb1486,neighborhood
yrdb1487,town
yrdb1488,fortress
yrdb1489,river valley
yrdb1491,walled settlement
yrdb1492,stockade
yrdb1493,not specified
yrdb1494,not specified
yrdb1496,walled settlement
yrdb1497,not specified
yrdb1498,not specified
yrdb1499,town
yrdb1500,post station
yrdb1501,fortress
yrdb1502,post station
yrdb1503,town
yrdb1504,not specified
yrdb1505,not specified
yrdb1507,estuary
yrdb1508,bay
yrdb1509,not specified
yrdb1510,ditch
yrdb1511,town
yrdb1512,mountain
yrdb1513,town
yrdb1514,dike
yrdb1515,bay
yrdb1516,town
yrdb1517,temple
yrdb1518,bureau
yrdb1519,bureau
yrdb1520,village
yrdb1521,not specified
yrdb1522,county
yrdb1524,bureau
yrdb1526,village
yrdb1527,not specified
yrdb1528,town
yrdb1529,ferry crossing
yrdb1530,town
yrdb1531,walled settlement
yrdb1532,not specified
yrdb1533,not specified
yrdb1534,fortress
yrdb1535,not specified
yrdb1536,state
yrdb1537,manor
yrdb1538,mountain
yrdb1539,palace
yrdb1540,not specified
yrdb1541,estuary
yrdb1542,ditch
