evtp_id,place_id,event,attestation
evtp_412,yrdb1855,ev_396,ds_1538
evtp_413,yrdb1855,ev_457,ds_1538
evtp_414,yrdb1855,ev_469,ds_1538
evtp_415,yrdb1855,ev_514,ds_1538
evtp_416,yrdb1855,ev_772,ds_1538
evtp_417,yrdb1855,ev_1359,ds_1538
evtp_418,yrdb1855,ev_1499,ds_1538
evtp_419,yrdb1855,ev_1695,ds_1538
evtp_420,yrdb1855,ev_1702,ds_1538
evtp_421,yrdb111,ev_3302,ds_10
evtp_422,yrdb380,ev_3302,ds_10
evtp_423,yrdb113,ev_1677,ds_15
evtp_424,yrdb1271,ev_1677,ds_15
evtp_425,yrdb113,ev_1251,ds_16
evtp_426,yrdb113,ev_1696,ds_17
evtp_427,yrdb119,ev_2001,ds_12
evtp_428,yrdb1277,ev_2001,ds_12
evtp_429,yrdb120,ev_1735,ds_11
evtp_430,yrdb121,ev_3599,ds_13
evtp_431,yrdb122,ev_1850,ds_14
evtp_432,yrdb929,ev_1850,ds_14
evtp_433,yrdb1353,ev_1850,ds_14
evtp_434,yrdb123,ev_2945,ds_364
evtp_435,yrdb123,ev_1545,ds_364
evtp_436,yrdb123,ev_1767,ds_364
evtp_437,yrdb123,ev_1768,ds_364
evtp_438,yrdb123,ev_1772,ds_364
evtp_439,yrdb123,ev_1791,ds_364
evtp_440,yrdb123,ev_1792,ds_364
evtp_441,yrdb123,ev_1829,ds_364
evtp_442,yrdb123,ev_1829,ds_364
evtp_443,yrdb123,ev_1834,ds_364
evtp_444,yrdb123,ev_1905,ds_364
evtp_445,yrdb123,ev_1927,ds_364
evtp_446,yrdb123,ev_1962,ds_364
evtp_447,yrdb123,ev_1965,ds_364
evtp_448,yrdb123,ev_1965,ds_364
evtp_449,yrdb123,ev_1976,ds_364
evtp_450,yrdb123,ev_2095,ds_364
evtp_451,yrdb123,ev_2217,ds_364
evtp_452,yrdb123,ev_2220,ds_364
evtp_453,yrdb123,ev_2224,ds_364
evtp_454,yrdb123,ev_2230,ds_364
evtp_455,yrdb123,ev_2338,ds_364
evtp_456,yrdb123,ev_2612,ds_364
evtp_457,yrdb929,ev_2945,ds_364
evtp_458,yrdb929,ev_1545,ds_364
evtp_459,yrdb929,ev_1767,ds_364
evtp_460,yrdb929,ev_1768,ds_364
evtp_461,yrdb929,ev_1772,ds_364
evtp_462,yrdb929,ev_1791,ds_364
evtp_463,yrdb929,ev_1792,ds_364
evtp_464,yrdb929,ev_1829,ds_364
evtp_465,yrdb929,ev_1829,ds_364
evtp_466,yrdb929,ev_1834,ds_364
evtp_467,yrdb929,ev_1905,ds_364
evtp_468,yrdb929,ev_1927,ds_364
evtp_469,yrdb929,ev_1962,ds_364
evtp_470,yrdb929,ev_1965,ds_364
evtp_471,yrdb929,ev_1965,ds_364
evtp_472,yrdb929,ev_1976,ds_364
evtp_473,yrdb929,ev_2095,ds_364
evtp_474,yrdb929,ev_2217,ds_364
evtp_475,yrdb929,ev_2220,ds_364
evtp_476,yrdb929,ev_2224,ds_364
evtp_477,yrdb929,ev_2230,ds_364
evtp_478,yrdb929,ev_2338,ds_364
evtp_479,yrdb929,ev_2612,ds_364
evtp_480,yrdb1353,ev_2945,ds_364
evtp_481,yrdb1353,ev_1545,ds_364
