ptatt_id,place_id,attestation_id
ptatt_533,yrdb427,us_70190
ptatt_534,yrdb428,us_70389
ptatt_535,yrdb429,ds_1184
ptatt_536,yrdb430,us_80318
ptatt_537,yrdb431,ds_235
ptatt_538,yrdb432,us_10013
ptatt_539,yrdb433,ds_382
ptatt_540,yrdb434,ds_383
ptatt_541,yrdb435,ds_1083
ptatt_542,yrdb436,ds_384
ptatt_543,yrdb437,ds_385
ptatt_544,yrdb438,us_70038
ptatt_545,yrdb438,us_40136
ptatt_546,yrdb438,us_30128
ptatt_547,yrdb442,ds_659
ptatt_548,yrdb442,ds_455
ptatt_549,yrdb443,us_80728
ptatt_550,yrdb443,us_70061
ptatt_551,yrdb444,ds_666
ptatt_552,yrdb445,ds_661
ptatt_553,yrdb446,ds_662
ptatt_554,yrdb447,ds_663
ptatt_555,yrdb448,ds_660
ptatt_556,yrdb449,us_10117
ptatt_557,yrdb450,us_70216
ptatt_558,yrdb450,us_80435
ptatt_559,yrdb451,us_80093
ptatt_560,yrdb452,us_80786
ptatt_561,yrdb453,ds_665
ptatt_562,yrdb454,us_70011
ptatt_563,yrdb454,us_80920
ptatt_564,yrdb455,ds_664
ptatt_565,yrdb456,us_81044
ptatt_566,yrdb457,us_10116
ptatt_567,yrdb458,us_10059
ptatt_568,yrdb458,us_20027
ptatt_569,yrdb458,us_20067
ptatt_570,yrdb459,us_70416
ptatt_571,yrdb460,ds_1670
ptatt_572,yrdb461,us_80069
ptatt_573,yrdb462,ds_856
ptatt_574,yrdb463,ds_853
ptatt_575,yrdb463,ds_854
ptatt_576,yrdb463,ds_855
ptatt_577,yrdb464,ds_857
ptatt_578,yrdb465,ds_1315
ptatt_579,yrdb466,us_20068
ptatt_580,yrdb466,us_40103
ptatt_581,yrdb466,us_30009
ptatt_582,yrdb469,us_10080
ptatt_583,yrdb470,us_70450
ptatt_584,yrdb471,us_81143
ptatt_585,yrdb472,us_80790
ptatt_586,yrdb473,ds_1383
ptatt_587,yrdb474,us_70173
ptatt_588,yrdb474,us_80379
ptatt_589,yrdb475,us_80264
ptatt_590,yrdb475,us_70448
ptatt_591,yrdb477,ds_1220
ptatt_592,yrdb477,ds_1518
ptatt_593,yrdb478,us_81038
ptatt_594,yrdb479,us_81051
ptatt_595,yrdb480,us_70030
ptatt_596,yrdb481,us_80054
ptatt_597,yrdb482,us_80230
ptatt_598,yrdb483,us_81034
ptatt_599,yrdb484,us_10049
ptatt_600,yrdb485,us_30012
ptatt_601,yrdb485,us_80789
ptatt_602,yrdb486,us_70027
ptatt_603,yrdb487,ds_404
ptatt_604,yrdb487,ds_584
ptatt_605,yrdb488,ds_1499
ptatt_606,yrdb489,ds_1736
ptatt_607,yrdb490,us_80372
ptatt_608,yrdb491,us_20211
ptatt_609,yrdb493,ds_697
ptatt_610,yrdb493,ds_409
ptatt_611,yrdb493,ds_1150
ptatt_612,yrdb493,ds_113
ptatt_613,yrdb493,ds_160
ptatt_614,yrdb493,ds_518
ptatt_615,yrdb493,ds_758
ptatt_616,yrdb493,ds_793
ptatt_617,yrdb495,ds_1151
ptatt_618,yrdb496,ds_1148
ptatt_619,yrdb497,ds_1149
ptatt_620,yrdb498,ds_500
ptatt_621,yrdb499,ds_1152
ptatt_622,yrdb501,us_81075
ptatt_623,yrdb502,us_81093
ptatt_624,yrdb503,us_80311
ptatt_625,yrdb504,ds_1017
ptatt_626,yrdb505,ds_1229
ptatt_627,yrdb506,us_80066
ptatt_628,yrdb507,us_80150
ptatt_629,yrdb508,ds_551
ptatt_630,yrdb509,ds_548
ptatt_631,yrdb510,ds_1650
ptatt_632,yrdb511,ds_1785
ptatt_633,yrdb512,ds_1786
ptatt_634,yrdb513,ds_1651
ptatt_635,yrdb514,us_80727
ptatt_636,yrdb515,ds_550
ptatt_637,yrdb516,ds_549
ptatt_638,yrdb517,ds_552
ptatt_639,yrdb518,us_20001
ptatt_640,yrdb519,ds_1004
ptatt_641,yrdb520,us_20132
ptatt_642,yrdb521,ds_263
ptatt_643,yrdb522,ds_264
ptatt_644,yrdb523,us_80767
ptatt_645,yrdb524,us_80783
ptatt_646,yrdb525,us_70092
ptatt_647,yrdb525,us_80695
ptatt_648,yrdb526,us_80097
ptatt_649,yrdb527,us_70155
ptatt_650,yrdb527,us_80883
ptatt_651,yrdb528,us_80585
ptatt_652,yrdb529,us_80943
ptatt_653,yrdb530,ds_1723
ptatt_654,yrdb531,us_20230
ptatt_655,yrdb531,us_30087
ptatt_656,yrdb532,us_40171
ptatt_657,yrdb532,us_20225
ptatt_658,yrdb534,ds_612
ptatt_659,yrdb535,us_80609
ptatt_660,yrdb535,us_81062
ptatt_661,yrdb536,us_40270
ptatt_662,yrdb537,us_80832
ptatt_663,yrdb538,us_80202
ptatt_664,yrdb539,ds_613
ptatt_665,yrdb540,us_81005
ptatt_666,yrdb541,us_40286
ptatt_667,yrdb542,ds_513
ptatt_668,yrdb543,us_70010
ptatt_669,yrdb543,us_80934
ptatt_670,yrdb544,ds_514
ptatt_671,yrdb545,ds_114
ptatt_672,yrdb546,ds_1430
ptatt_673,yrdb547,ds_1365
ptatt_674,yrdb548,us_80753
ptatt_675,yrdb549,us_81021
ptatt_676,yrdb550,us_20236
ptatt_677,yrdb551,ds_278
ptatt_678,yrdb552,us_80670
ptatt_679,yrdb553,us_30016
ptatt_680,yrdb554,us_81126
ptatt_681,yrdb556,ds_1288
ptatt_682,yrdb556,us_10056
ptatt_683,yrdb556,us_20029
ptatt_684,yrdb559,ds_896
ptatt_685,yrdb559,ds_753
ptatt_686,yrdb560,us_20106
ptatt_687,yrdb561,ds_496
ptatt_688,yrdb562,ds_181
ptatt_689,yrdb563,ds_745
ptatt_690,yrdb564,ds_574
ptatt_691,yrdb565,ds_575
ptatt_692,yrdb566,us_80316
ptatt_693,yrdb567,ds_1734
ptatt_694,yrdb568,ds_576
ptatt_695,yrdb569,ds_586
ptatt_696,yrdb570,us_70480
ptatt_697,yrdb571,ds_299
ptatt_698,yrdb573,us_81003
ptatt_699,yrdb573,us_70412
ptatt_700,yrdb574,us_80683
ptatt_701,yrdb575,us_20227
ptatt_702,yrdb576,us_20164
ptatt_703,yrdb577,us_40005
ptatt_704,yrdb577,us_40028
