Location_id,Place_id,Attestation,Latitude,Longitude
loc_0430,yrdb341,ds_1095,112.5444,33.001
loc_0431,yrdb342,ds_427,114.8465139,34.91051667
loc_0432,yrdb343,us_80944,112.0920633,35.49787977
loc_0433,yrdb345,ds_1094,118.6333,35.7899
loc_0434,yrdb346,ds_424,114.8321778,33.43157778
loc_0435,yrdb347,us_80964,113.0917728,35.69782167
loc_0436,yrdb348,ds_885,118.1224861,37.15325
loc_0437,yrdb349,ds_1331,115.9797556,36.45702778
loc_0438,yrdb350,ds_884,115.9932694,36.64102222
loc_0439,yrdb351,us_20087,108.8956545,34.21153323
loc_0440,yrdb352,ds_883,113.0577667,35.17163611
loc_0441,yrdb353,us_81030,107.7228784,40.13516857
loc_0442,yrdb354,ds_40,115.9833333,36
loc_0443,yrdb355,us_40036,111.040344,34.09992037
loc_0444,yrdb356,ds_373,115.8651889,34.39795556
loc_0445,yrdb357,us_80190,110.4654783,34.39838716
loc_0446,yrdb358,ds_657,117.2304833,36.60789722
loc_0447,yrdb359,ds_1504,114.7903917,35.51998611
loc_0448,yrdb360,ds_1192,114.311675,35.60690556
loc_0449,yrdb361,ds_628,114.2258028,35.42926667
loc_0450,yrdb361,ds_1505,114.0584167,35.39860833
loc_0451,yrdb362,ds_1639,113.8659611,35.3133
loc_0452,yrdb363,ds_1191,114.0607028,35.39785833
loc_0453,yrdb364,ds_1007,113.6646694,35.24872222
loc_0454,yrdb365,ds_1010,114.0584167,35.39860833
loc_0455,yrdb365,ds_1653,,
loc_0456,yrdb366,ds_1037,113.7798333,34.99840556
loc_0457,yrdb367,ds_1052,116.0789667,37.20253333
loc_0458,yrdb368,us_40195,106.6224038,38.69202794
loc_0459,yrdb369,ds_92,116.9666667,36.73333333
loc_0460,yrdb369,ds_211,117.1333333,36.81666667
loc_0461,yrdb369,ds_474,117.1616528,36.858425
loc_0462,yrdb369,ds_495,117.1813056,36.88303889
loc_0463,yrdb369,ds_745,117.0801444,36.75638611
loc_0464,yrdb369,ds_1051,117.0126583,36.67625
loc_0465,yrdb370,ds_1258,117.504275,37.48914722
loc_0466,yrdb371,us_80250,109.5045241,34.24224224
loc_0467,yrdb372,us_80234,107.8202737,33.83062498
loc_0468,yrdb373,us_10023,112.5271967,35.10403393
loc_0469,yrdb374,us_20171,112.5270778,35.11415874
loc_0470,yrdb375,us_20112,109.5437268,40.56025548
loc_0471,yrdb376,us_70402,112.7363899,38.66734236
loc_0472,yrdb376,us_80852,112.7350583,38.70149427
loc_0473,yrdb378,ds_797,113.339325,35.09981667
loc_0474,yrdb379,ds_553,113.2119167,34.84525833
loc_0475,yrdb380,ds_10,111.8833333,39.2
loc_0476,yrdb380,ds_222,113.9166667,35.1
loc_0477,yrdb380,ds_242,113.9333333,35.06666667
loc_0478,yrdb380,ds_443,113.9144,34.9341
loc_0479,yrdb380,ds_624,,
loc_0480,yrdb380,ds_1289,113.7827,35.002
loc_0481,yrdb381,us_20018,111.7381659,40.73353939
loc_0482,yrdb382,us_80276,107.0845327,34.50273432
loc_0483,yrdb383,us_40141,112.0393318,40.59717056
loc_0484,yrdb384,us_81091,103.028788,35.505832
loc_0485,yrdb385,ds_541,116.0299972,35.00094444
loc_0486,yrdb386,us_70334,110.0566068,38.37086354
loc_0487,yrdb386,us_80050,110.0573488,38.40926852
loc_0488,yrdb387,us_70255,106.6749521,36.02393502
loc_0489,yrdb388,us_80070,109.7942861,37.57004142
loc_0490,yrdb389,us_80771,111.5126862,36.92928199
loc_0491,yrdb390,ds_539,117.55,34.23333333
loc_0492,yrdb390,ds_540,117.5878417,34.03742778
loc_0493,yrdb392,us_70115,112.2240203,40.12431249
loc_0494,yrdb393,ds_542,115.4850222,35.25546389
loc_0495,yrdb394,us_80065,110.05163,37.60149456
loc_0496,yrdb395,ds_274,117.6333333,34.2
loc_0497,yrdb396,us_80845,112.6214549,39.66712276
