ev_t_typ_id,Event ID,EventType Chinese
1140,881,evtype_1
1141,882,evtype_4
1142,882,evtype_2
1143,882,evtype_1
1144,883,evtype_4
1145,883,evtype_1
1146,884,evtype_4
1147,885,evtype_1
1148,886,evtype_4
1149,887,evtype_1 
1150,888,evtype_4
1151,889,evtype_1
1152,890,evtype_1
1153,890,evtype_2
1154,891,evtype_16
1155,892,evtype_4
1156,893,evtype_1
1157,893,evtype_2
1158,894,evtype_8
1159,895,evtype_8
1160,896,evtype_2
1161,897,evtype_4
1162,898,evtype_4
1163,899,evtype_1
1164,900,evtype_2
1165,901,evtype_4
1166,901,evtype_1
1167,902,evtype_2
1168,903,evtype_1
1169,904,evtype_2
1170,904,evtype_18
1171,905,evtype_2
1172,905,evtype_18
1173,906,evtype_16
1174,907,evtype_1
1175,908,evtype_4
1176,909,evtype_1
1177,910,evtype_4
1178,910,evtype_1
1179,911,evtype_4
1180,911,evtype_1
1181,912,evtype_1
1182,913,evtype_2
1183,914,evtype_1
1184,915,evtype_11
1185,915,evtype_16
1186,916,evtype_11
1187,916,evtype_16
1188,917,evtype_14
1189,918,evtype_4
1190,919,evtype_1
1191,920,evtype_2
1192,921,evtype_2
1193,922,evtype_1
1194,922,evtype_8
1195,922,evtype_11
1196,922,evtype_16
1197,922,evtype_19
1198,922,evtype_2
1199,923,evtype_2
1200,923,evtype_8
1201,923,evtype_1
1202,924,evtype_1
1203,925,evtype_2
1204,926,evtype_14
1205,927,evtype_2
1206,928,evtype_11
1207,928,evtype_16
1208,929,evtype_2
1209,930,evtype_1
1210,931,evtype_1
1211,931,evtype_2
1212,931,evtype_18
1213,932,evtype_2
1214,933,evtype_16
1215,933,evtype_19
1216,933,evtype_17
1217,934,evtype_1
1218,935,evtype_2
1219,936,evtype_1
1220,937,evtype_1
1221,937,evtype_11
1222,938,evtype_16
1223,939,evtype_11
1224,939,evtype_16
1225,939,evtype_19
1226,940,evtype_17
1227,941,evtype_1
1228,942,evtype_16
1229,943,evtype_1
1230,944,evtype_4
1231,944,evtype_1 
1232,945,evtype_4
1233,945,evtype_1 
1234,946,evtype_1
1235,947,evtype_16
1236,947,evtype_19
1237,947,evtype_15
1238,948,evtype_14
1239,949,evtype_11
1240,950,evtype_4
1241,950,evtype_1
1242,951,evtype_1
1243,951,evtype_2
1244,951,evtype_18
1245,951,evtype_8
1246,952,evtype_2
1247,952,evtype_18
1248,953,evtype_1
1249,954,evtype_2
1250,954,evtype_17
1251,955,evtype_2
1252,956,evtype_2
1253,956,evtype_4
1254,956,evtype_1
1255,957,evtype_2
1256,958,evtype_16
1257,959,evtype_18
1258,959,evtype_8
1259,959,evtype_2
1260,960,evtype_16
1261,960,evtype_8
1262,961,evtype_19
1263,961,evtype_8
1264,962,evtype_2
1265,963,evtype_16
1266,964,evtype_1
1267,965,evtype_1
1268,966,evtype_16
1269,966,evtype_19
1270,966,evtype_8
1271,967,evtype_2
1272,967,evtype_18
1273,968,evtype_2
1274,969,evtype_11
1275,969,evtype_16
1276,969,evtype_19
1277,970,evtype_1
1278,970,evtype_2
1279,970,evtype_8
1280,971,evtype_1
1281,972,evtype_2
1282,973,evtype_2
1283,973,evtype_1
1284,974,evtype_1
1285,975,evtype_1
1286,976,evtype_1
1287,977,evtype_1
1288,978,evtype_1
1289,979,evtype_6
1290,979,evtype_18
1291,980,evtype_2
