name_id,name,ch_pinyin,yrdb_id,attestation
nm_0306,匈歸障,xiongguizhang,yrdb242,us_20108
nm_0307,化樂鎮,huale zhen,yrdb243,us_80761
nm_0308,化平川廳,huapingchuan ting,yrdb244,us_80500
nm_0309,北中城,beizhong cheng,yrdb245,us_40089
nm_0310,北京,beijing,yrdb246,ds_426
nm_0311,北京,beijing,yrdb246, ds_1092
nm_0312,北京,beijing,yrdb246, ds_1325
nm_0313,北京,beijing,yrdb246, ds_1423
nm_0314,北京,beijing,yrdb246, ds_1420
nm_0315,北京,beijing,yrdb246, ds_1616
nm_0316,北京,beijing,yrdb246, ds_1764
nm_0317,北京,beijing,yrdb246, ds_1344
nm_0318,北京,beijing,yrdb246, ds_1567
nm_0319,北蔔渡,beibo du,yrdb248,us_70431
nm_0320,北原,beiyuan,yrdb249,us_30041
nm_0321,北屈,beiqu,yrdb251,us_10092
nm_0322,北岸二套口,beianertao kou,yrdb252,ds_33
nm_0323,北岸花山,beianhua shan,yrdb254,ds_34
nm_0324,北川營,beichuan ying,yrdb255,us_80309
nm_0325,北樓口,beilou kou,yrdb256,us_80853
nm_0326,北樓口,beilou kou,yrdb256, us_70141
nm_0327,北流堡,beiliu bao,yrdb257,us_80952
nm_0328,北海,beihai,yrdb258,ds_878
nm_0329,北海,beihai,yrdb258, ds_1324
nm_0330,北海郡,beihai jun,yrdb259,ds_879
nm_0331,北清河,beiqing he,yrdb260,ds_1673
nm_0332,北相堡,beixiang bao,yrdb261,us_80933
nm_0333,北董堡,beidong bao,yrdb262,us_80983
nm_0334,北谷鎮,beigu zhen,yrdb263,us_80144
nm_0335,北賈鎮,beijia zhen,yrdb264,us_70400
nm_0336,北邵,beishao,yrdb265,ds_36
nm_0337,匙頭灣,chitou wan,yrdb266,ds_1730
nm_0338,匡口鎮,kuangkou zhen,yrdb267,us_80016
nm_0339,十一堡,shiyi bao,yrdb268,ds_526
nm_0340,十七堡,shiqi bao,yrdb269,ds_521
nm_0341,十七鋪口,shiqipu kou,yrdb270,ds_522
nm_0342,十三堡,shisan bao,yrdb271,ds_523
nm_0343,十三里橋,shisanli qiao,yrdb272,us_30073
nm_0344,十九堡,shijiu bao,yrdb273,ds_518
nm_0345,十八堡,shiba bao,yrdb274,ds_515
nm_0346,十八里屯,shibali tun,yrdb275,ds_516
nm_0347,十八里鋪,shibali pu,yrdb276,us_81121
nm_0348,十四堡,shisi bao,yrdb277,ds_524
nm_0349,十四堡,shisi bao,yrdb277, ds_525
nm_0350,十堡,shi bao,yrdb278,ds_517
nm_0351,十字川,shizi chuan,yrdb279,us_80390
nm_0352,十字鎮,shizi zhen,yrdb280,us_81166
nm_0353,十里,shili,yrdb281,us_70098
nm_0354,十里堡,shili pu,yrdb282,ds_519
nm_0355,十里堡,shili pu,yrdb282, ds_520
nm_0356,十里鋪,shili pu,yrdb283,us_80081
nm_0357,十里長灘,shilichang tan,yrdb284,us_81037
nm_0358,千乘,qiansheng,yrdb285,ds_1123
nm_0359,千畝,qianmu,yrdb286,us_30100
nm_0360,千畝,qianmu,yrdb286, us_20200
nm_0361,千戶莊堡,qianhuzhuang bao,yrdb288,us_80320
nm_0362,千秋亭,qianqiu ting,yrdb289,us_40074
nm_0363,千金堨,qianjine,yrdb290,us_30066
nm_0364,升州,sheng zhou,yrdb291,ds_1479
nm_0365,升店,shengdian,yrdb292,us_80252
nm_0366,午溝,wu gou,yrdb293,ds_1204
nm_0367,華亭,hua ting,yrdb295,us_80501
nm_0368,華亭下關,huatingxia guan,yrdb296,us_81150
nm_0369,華家嶺,huajia ling,yrdb297,us_80512
nm_0370,華山,hua shan,yrdb298,ds_249
nm_0371,華山,hua shan,yrdb298, ds_1698
nm_0372,華州,hua zhou,yrdb299,ds_991
nm_0373,華州,hua zhou,yrdb299, ds_1393
nm_0374,華池,huachi,yrdb300,us_70305
nm_0375,華池,huachi,yrdb300, us_70463
