,yrdb_id,place,event
527,yrdb134,ds_1438,ev_3744
528,yrdb134,ds_1438,ev_3018
529,yrdb135,ds_313,ev_3463
530,yrdb135,ds_313,ev_3465
531,yrdb135,ds_313,ev_3468
532,yrdb1992,ds_313,ev_3463
533,yrdb1992,ds_313,ev_3465
534,yrdb1992,ds_313,ev_3468
535,yrdb139,ds_28,ev_2650
536,yrdb139,ds_28,ev_2638
537,yrdb1471,ds_28,ev_2650
538,yrdb1471,ds_28,ev_2638
539,yrdb139,ds_51,ev_2141
540,yrdb1363,ds_51,ev_2141
541,yrdb139,ds_320,ev_2571
542,yrdb139,ds_320,ev_2672
543,yrdb1765,ds_320,ev_2571
544,yrdb1765,ds_320,ev_2672
545,yrdb3222,ds_320,ev_2571
546,yrdb3222,ds_320,ev_2672
547,yrdb139,ds_608,ev_1756
548,yrdb139,ds_608,ev_2008
549,yrdb139,ds_608,ev_2381
550,yrdb139,ds_608,ev_2391
551,yrdb139,ds_608,ev_3409
552,yrdb139,ds_608,ev_1851
553,yrdb139,ds_608,ev_1759
554,yrdb3032,ds_608,ev_1756
555,yrdb3032,ds_608,ev_2008
556,yrdb3032,ds_608,ev_2381
557,yrdb3032,ds_608,ev_2391
558,yrdb3032,ds_608,ev_3409
559,yrdb3032,ds_608,ev_1851
560,yrdb3032,ds_608,ev_1759
561,yrdb139,ds_739,ev_3702
562,yrdb2678,ds_739,ev_3702
563,yrdb139,ds_832,ev_1832
564,yrdb139,ds_832,ev_1844
565,yrdb139,ds_832,ev_1845
566,yrdb139,ds_832,ev_1846
567,yrdb139,ds_832,ev_1847
568,yrdb139,ds_832,ev_1848
569,yrdb139,ds_832,ev_1873
570,yrdb139,ds_832,ev_1930
571,yrdb139,ds_832,ev_1923
572,yrdb2840,ds_832,ev_1832
573,yrdb2840,ds_832,ev_1844
574,yrdb2840,ds_832,ev_1845
575,yrdb2840,ds_832,ev_1846
576,yrdb2840,ds_832,ev_1847
577,yrdb2840,ds_832,ev_1848
578,yrdb2840,ds_832,ev_1873
579,yrdb2840,ds_832,ev_1930
580,yrdb2840,ds_832,ev_1923
581,yrdb139,ds_1044,ev_1207
582,yrdb139,ds_1044,ev_1465
583,yrdb139,ds_1044,ev_1480
584,yrdb139,ds_1044,ev_1565
585,yrdb139,ds_1044,ev_1588
586,yrdb139,ds_1044,ev_1625
587,yrdb139,ds_1044,ev_1628
588,yrdb139,ds_1044,ev_1749
589,yrdb139,ds_1044,ev_1752
590,yrdb139,ds_1044,ev_1754
591,yrdb139,ds_1044,ev_1755
592,yrdb139,ds_1044,ev_1756
593,yrdb139,ds_1044,ev_1759
594,yrdb139,ds_1044,ev_1761
595,yrdb139,ds_1044,ev_1848
596,yrdb139,ds_1044,ev_2022
597,yrdb139,ds_1044,ev_2224
598,yrdb139,ds_1044,ev_2226
599,yrdb139,ds_1044,ev_2235
600,yrdb139,ds_1044,ev_2237
601,yrdb139,ds_1044,ev_2240
602,yrdb139,ds_1044,ev_2252
603,yrdb139,ds_1044,ev_2258
604,yrdb139,ds_1044,ev_2260
605,yrdb139,ds_1044,ev_2261
606,yrdb139,ds_1044,ev_2284
607,yrdb139,ds_1044,ev_2298
608,yrdb139,ds_1044,ev_2303
609,yrdb139,ds_1044,ev_2322
610,yrdb139,ds_1044,ev_2324
611,yrdb139,ds_1044,ev_2433
612,yrdb139,ds_1044,ev_2442
613,yrdb139,ds_1044,ev_2476
614,yrdb139,ds_1044,ev_2558
615,yrdb139,ds_1044,ev_2576
616,yrdb139,ds_1044,ev_2646
617,yrdb139,ds_1044,ev_2651
618,yrdb139,ds_1044,ev_2654
619,yrdb139,ds_1044,ev_2851
620,yrdb139,ds_1044,ev_2857
621,yrdb139,ds_1044,ev_2921
622,yrdb139,ds_1044,ev_2964
623,yrdb139,ds_1044,ev_2965
624,yrdb139,ds_1044,ev_3108
625,yrdb139,ds_1044,ev_3117
626,yrdb139,ds_1044,ev_3129
627,yrdb139,ds_1044,ev_3155
628,yrdb139,ds_1044,ev_3162
629,yrdb139,ds_1044,ev_3210
630,yrdb139,ds_1044,ev_3224
631,yrdb139,ds_1044,ev_3237
632,yrdb139,ds_1044,ev_3248
633,yrdb139,ds_1044,ev_3255
634,yrdb139,ds_1044,ev_3262
635,yrdb139,ds_1044,ev_3268
636,yrdb139,ds_1044,ev_3274
637,yrdb139,ds_1044,ev_3275
638,yrdb139,ds_1044,ev_3286
639,yrdb139,ds_1044,ev_3290
640,yrdb139,ds_1044,ev_3291
641,yrdb139,ds_1044,ev_3414
642,yrdb139,ds_1044,ev_3417
643,yrdb139,ds_1044,ev_3419
644,yrdb139,ds_1044,ev_3420
645,yrdb139,ds_1044,ev_2680
646,yrdb139,ds_1044,ev_2861
647,yrdb139,ds_1044,ev_3680
648,yrdb139,ds_1044,ev_1451
649,yrdb139,ds_1044,ev_2957
650,yrdb139,ds_1044,ev_3143
651,yrdb139,ds_1045,ev_2572
652,yrdb139,ds_175,ev_2675
653,yrdb139,ds_175,ev_2766
654,yrdb139,ds_175,ev_2797
655,yrdb139,ds_175,ev_2673
656,yrdb139,ds_175,ev_2866
657,yrdb2488,ds_175,ev_2675
658,yrdb2488,ds_175,ev_2766
659,yrdb2488,ds_175,ev_2797
660,yrdb2488,ds_175,ev_2673
661,yrdb2488,ds_175,ev_2866
662,yrdb142,ds_1374,ev_1163
663,yrdb143,ds_1577,ev_120
664,yrdb143,ds_1577,ev_151
665,yrdb143,ds_1577,ev_477
666,yrdb143,ds_1577,ev_478
667,yrdb143,ds_1577,ev_135
668,yrdb144,ds_876,ev_2471
669,yrdb2158,ds_876,ev_2471
670,yrdb144,ds_1580,ev_1470
671,yrdb145,ds_1579,ev_287
672,yrdb151,ds_1578,ev_397
673,yrdb153,ds_1239,ev_1113
674,yrdb153,ds_1239,ev_1116
675,yrdb154,ds_1237,ev_2164
676,yrdb154,ds_1237,ev_2168
677,yrdb154,ds_1237,ev_2174
678,yrdb154,ds_1237,ev_2179
679,yrdb155,ds_1526,ev_1151
680,yrdb155,ds_1526,ev_1152
681,yrdb2347,ds_1526,ev_1151
682,yrdb2347,ds_1526,ev_1152
683,yrdb157,ds_1525,ev_2471
684,yrdb158,ds_1527,ev_640
685,yrdb158,ds_1527,ev_1128
686,yrdb158,ds_1527,ev_1186
687,yrdb158,ds_1527,ev_1187
688,yrdb162,ds_1238,ev_1751
689,yrdb167,ds_1106,ev_1525
690,yrdb1009,ds_1106,ev_1525
691,yrdb167,ds_1198,ev_1525
692,yrdb1264,ds_1198,ev_1525
693,yrdb167,ds_1481,ev_1537
694,yrdb2274,ds_1481,ev_1537
695,yrdb167,ds_1603,ev_1461
696,yrdb168,ds_672,ev_1010
697,yrdb322,ds_672,ev_1010
698,yrdb168,ds_801,ev_913
699,yrdb1477,ds_801,ev_913
700,yrdb168,ds_926,ev_904
701,yrdb168,ds_926,ev_905
702,yrdb1215,ds_926,ev_904
703,yrdb1215,ds_926,ev_905
704,yrdb168,ds_1292,ev_857
705,yrdb168,ds_1292,ev_858
706,yrdb168,ds_1292,ev_1085
707,yrdb168,ds_1292,ev_920
