ptty_id,place_id,ft_id
ptty_1618,yrdb1691,yft_5
ptty_162,yrdb172,yft_14
ptty_1620,yrdb1693,yft_13
ptty_1622,yrdb1695,yft_30
ptty_1623,yrdb1696,yft_6
ptty_1625,yrdb1699,yft_33
ptty_1626,yrdb1703,yft_32
ptty_1627,yrdb1704,yft_33
ptty_1628,yrdb1705,yft_6
ptty_1629,yrdb1706,yft_32
ptty_163,yrdb173,yft_3
ptty_1630,yrdb1707,yft_13
ptty_1631,yrdb1708,yft_9
ptty_1632,yrdb1709,yft_5
ptty_1633,yrdb1710,yft_15
ptty_1634,yrdb1711,yft_32
ptty_1636,yrdb1714,yft_5
ptty_1637,yrdb1715,yft_32
ptty_164,yrdb174,yft_6
ptty_1640,yrdb1718,yft_31
ptty_1641,yrdb1719,yft_5
ptty_1642,yrdb1720,yft_32
ptty_1644,yrdb1723,yft_9
ptty_1647,yrdb1726,yft_30
ptty_1648,yrdb1727,yft_6
ptty_1649,yrdb1728,yft_6
ptty_1654,yrdb1733,yft_16
ptty_1657,yrdb1738,yft_24
ptty_1658,yrdb1739,yft_32
ptty_1660,yrdb1741,yft_19
ptty_1663,yrdb1744,yft_39
ptty_1664,yrdb1745,yft_28
ptty_1665,yrdb1746,yft_14
ptty_1666,yrdb1747,yft_13
ptty_1667,yrdb1748,yft_6
ptty_1668,yrdb1749,yft_32
ptty_1669,yrdb1750,yft_5
ptty_167,yrdb178,yft_49
ptty_1672,yrdb1753,yft_2
ptty_1673,yrdb1754,yft_2
ptty_1674,yrdb1755,yft_4
ptty_1677,yrdb1759,yft_6
ptty_1678,yrdb1760,yft_3
ptty_1679,yrdb1761,yft_2
ptty_168,yrdb179,yft_6
ptty_1680,yrdb1762,yft_2
ptty_1681,yrdb1763,yft_2
ptty_1682,yrdb1764,yft_9
ptty_1683,yrdb1765,yft_3
ptty_1684,yrdb1767,yft_2
ptty_1685,yrdb1768,yft_9
ptty_1686,yrdb1769,yft_9
ptty_1687,yrdb1770,yft_10
ptty_1688,yrdb1771,yft_28
ptty_169,yrdb180,yft_34
ptty_1691,yrdb1774,yft_5
ptty_1692,yrdb1775,yft_10
ptty_1694,yrdb1777,yft_47
ptty_1695,yrdb1778,yft_34
ptty_1698,yrdb1781,yft_22
ptty_1699,yrdb1782,yft_22
ptty_17,yrdb18,yft_6
ptty_170,yrdb181,yft_10
ptty_1702,yrdb1786,yft_47
